"기준_년_코드","기준_분기_코드","상권_구분_코드","상권_구분_코드_명","상권.코드","총.상주인구.수","남성.상주인구.수","여성.상주인구.수","연령대.10.상주인구.수","연령대.20.상주인구.수","연령대.30.상주인구.수","연령대.40.상주인구.수","연령대.50.상주인구.수","연령대.60.이상.상주인구.수","남성연령대.10.상주인구.수","남성연령대.20.상주인구.수","남성연령대.30.상주인구.수","남성연령대.40.상주인구.수","남성연령대.50.상주인구.수","남성연령대.60.이상.상주인구.수","여성연령대.10.상주인구.수","여성연령대.20.상주인구.수","여성연령대.30.상주인구.수","여성연령대.40.상주인구.수","여성연령대.50.상주인구.수","여성연령대.60.이상.상주인구.수","총.가구.수","아파트.가구.수","비.아파트.가구.수","상권.코드.명"
2020,2,"A","골목상권",1000754,2640,1269,1371,378,406,461,444,341,610,209,182,225,224,158,271,169,224,236,220,183,339,1348,0,1348,"사당로2차길"
2020,3,"A","골목상권",1000754,2640,1269,1371,378,406,461,444,341,610,209,182,225,224,158,271,169,224,236,220,183,339,1348,0,1348,"사당로2차길"
2019,1,"A","골목상권",1000756,2608,1233,1375,258,488,514,378,397,573,134,222,261,192,185,239,124,266,253,186,212,334,1295,0,1295,"사당로8길"
2019,2,"A","골목상권",1000756,2608,1233,1375,258,488,514,378,397,573,134,222,261,192,185,239,124,266,253,186,212,334,1295,0,1295,"사당로8길"
2019,3,"A","골목상권",1000756,2608,1233,1375,258,488,514,378,397,573,134,222,261,192,185,239,124,266,253,186,212,334,1295,0,1295,"사당로8길"
2019,4,"A","골목상권",1000756,2576,1223,1353,254,514,471,367,386,584,136,242,229,188,187,241,118,272,242,179,199,343,1324,0,1324,"사당로8길"
2020,1,"A","골목상권",1000756,2576,1223,1353,254,514,471,367,386,584,136,242,229,188,187,241,118,272,242,179,199,343,1324,0,1324,"사당로8길"
2020,2,"A","골목상권",1000756,2576,1223,1353,254,514,471,367,386,584,136,242,229,188,187,241,118,272,242,179,199,343,1324,0,1324,"사당로8길"
2020,3,"A","골목상권",1000756,2576,1223,1353,254,514,471,367,386,584,136,242,229,188,187,241,118,272,242,179,199,343,1324,0,1324,"사당로8길"
2019,1,"A","골목상권",1000758,1330,639,691,176,362,241,160,146,245,81,175,127,84,66,106,95,187,114,76,80,139,713,0,713,"상도로37길"
2019,2,"A","골목상권",1000758,1330,639,691,176,362,241,160,146,245,81,175,127,84,66,106,95,187,114,76,80,139,713,0,713,"상도로37길"
2019,3,"A","골목상권",1000758,1330,639,691,176,362,241,160,146,245,81,175,127,84,66,106,95,187,114,76,80,139,713,0,713,"상도로37길"
2019,4,"A","골목상권",1000758,1336,646,690,153,412,206,152,166,247,68,202,114,81,77,104,85,210,92,71,89,143,745,0,745,"상도로37길"
2020,1,"A","골목상권",1000758,1336,646,690,153,412,206,152,166,247,68,202,114,81,77,104,85,210,92,71,89,143,745,0,745,"상도로37길"
2020,2,"A","골목상권",1000758,1336,646,690,153,412,206,152,166,247,68,202,114,81,77,104,85,210,92,71,89,143,745,0,745,"상도로37길"
2020,3,"A","골목상권",1000758,1336,646,690,153,412,206,152,166,247,68,202,114,81,77,104,85,210,92,71,89,143,745,0,745,"상도로37길"
2019,1,"A","골목상권",1000759,3944,1988,1956,488,1231,559,485,440,741,242,710,286,228,198,324,246,521,273,257,242,417,2157,49,2108,"상도로47길"
2019,2,"A","골목상권",1000759,3944,1988,1956,488,1231,559,485,440,741,242,710,286,228,198,324,246,521,273,257,242,417,2157,49,2108,"상도로47길"
2019,3,"A","골목상권",1000759,3944,1988,1956,488,1231,559,485,440,741,242,710,286,228,198,324,246,521,273,257,242,417,2157,49,2108,"상도로47길"
2019,4,"A","골목상권",1000759,3971,1958,2013,487,1310,511,456,447,760,236,711,265,214,201,331,251,599,246,242,246,429,2261,0,2261,"상도로47길"
2020,1,"A","골목상권",1000759,3971,1958,2013,487,1310,511,456,447,760,236,711,265,214,201,331,251,599,246,242,246,429,2261,0,2261,"상도로47길"
2020,2,"A","골목상권",1000759,3971,1958,2013,487,1310,511,456,447,760,236,711,265,214,201,331,251,599,246,242,246,429,2261,0,2261,"상도로47길"
2020,3,"A","골목상권",1000759,3971,1958,2013,487,1310,511,456,447,760,236,711,265,214,201,331,251,599,246,242,246,429,2261,0,2261,"상도로47길"
2019,1,"A","골목상권",1000760,2305,1191,1114,234,724,385,278,267,417,121,421,200,140,117,192,113,303,185,138,150,225,1287,274,1013,"상도로61길"
2019,2,"A","골목상권",1000760,2305,1191,1114,234,724,385,278,267,417,121,421,200,140,117,192,113,303,185,138,150,225,1287,274,1013,"상도로61길"
2019,3,"A","골목상권",1000760,2305,1191,1114,234,724,385,278,267,417,121,421,200,140,117,192,113,303,185,138,150,225,1287,274,1013,"상도로61길"
